User,Bot
i was busy doing something. i apologize.,no problem.
and a puppy eats food. food costs money.,no problem. i'll give him food off my plate.
i'm pretty good. thanks for asking.,no problem. so how have you been?
my waist is bigger than it was.,no problem. these pants have an elastic waistband.
people take care of their lawns.,no rusty old cars are sitting in the front yards.
you should try riding a mule on a trail to the bottom.,no way! i don't want to fall to my death.
except we can't afford it!,no wonder you're worried.
coffee and a roll?,"no, a real breakfast."
doesn't that get old?,"no, because i'm eating food that i like."
because of all the security?,"no, because it hurts my ears."
did you get fat?,"no, but i did put on a few pounds."
do they help you run faster?,"no, but my feet don't hurt anymore."
"that's nice, have you been to the movies lately?","no, but that was a random change of subject."
florida doesn't have earthquakes or fires.,"no, florida just has hurricanes every year from june to october."
did he speak to every family that lost a soldier?,"no, he didn't have time to do that."
did he crash?,"no, he just landed the plane and walked to a restaurant."
"yes, he pushed him off the hood of the car.","no, he said he gently placed the boy on the street."
but a cop might stop you.,"no, he won't. some cars are doing 85."
"well, he's got plenty of time now!","no, he's too busy writing a book about how hard it was to be president."
will you lose all your files?,"no, i always back up my files."
did you go to the basketball game on friday?,"no, i couldn't make it."
"yeah, i went. did you go?","no, i didn't feel like it."
"yeah, i went to school today. were you there?","no, i didn't go, i've been sick."
i always do. did you go to school today?,"no, i didn't."
"the last time we went, you almost drowned.","no, i didn't."
have you tried nose drops?,"no, i don't like nose drops."
did you buy the converter?,"no, i don't need a converter because i bought a digital tv."
do you have a girlfriend?,"no, i don't. do you?"
maybe it's something in your diet.,"no, i eat the same things day after day."
"well, it won't last forever.","no, i figure i'll finish it all by next week."
i would've thought that somebody would have told you.,"no, i had no idea."
do you eat fruits and vegetables every day?,"no, i hate vegetables."
did you hear the good news?,"no, i haven't."
have you ever lost a letter in the mail?,"no, i haven't."
have you seen the new girl in school?,"no, i haven't."
"i'm serious, have you?","no, i haven't. why?"
have you taken anything for your cold?,"no, i just blow my nose a lot."
"you mean, like a pepperoni pizza instead of a cheese pizza?","no, i mean a salad instead of a pizza."
did you ever take an iq test?,"no, i never did. all i know is that i got a's and b's in school."
"well anyway, do you plan on going to school tomorrow?","no, i think i'm going to go to the movies."
"so, will you be at school tomorrow?","no, i want to go to the movies instead."
were you speeding?,"no, i was crossing the street."
were you jaywalking?,"no, i was in the crosswalk."
you're not going to examine it before we order dinner?,"no, i'd rather not find out that it's dirty, because i'm pretty hungry right now."
are you looking for another job?,"no, i'm looking for another family."
you must be kidding.,"no, i'm not. it's march. time is running out. seats are selling out right now."
you must be joking.,"no, i'm serious."
you're kidding.,"no, i'm serious."
because a puppy costs money.,"no, it doesn't. puppies are free."
oh. that's not good.,"no, it isn't. a flat costs you time and money."
that's not good.,"no, it isn't. he almost died when he was little."
there's no sugar or cream in it.,"no, it's a taste you have to get used to."
your orange isn't orange?,"no, it's dark pink!"
is it your birthday or anniversary?,"no, it's earth day."
how about this table?,"no, it's too close to the front door."
is this table okay?,"no, it's too close to the kitchen door."
this looks like a nice table.,"no, it's too close to the salad bar."
you mean like tiger?,"no, like a good amateur golfer."
plus installation?,"no, my hard drive is easy to remove and replace."
are you going to travel alone?,"no, my sister and i will travel together."
"maybe it was, but answer the question.","no, not recently."
did you hear what happened at the baseball game?,"no, please tell me."
just you?,"no, ten of my coworkers got laid off, too."
"well, i can always pull over.","no, thank you, i'll just wait."
"next time you go to the market, let me go with you.","no, thank you. all you want to eat are hot dogs and candy bars."
"so, did you want to go?","no, thanks, maybe another time."
do you want anything to make you feel better?,"no, thanks. i already took some medicine."
do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up."
have you decided whether or not you would like to go?,"no, thanks. maybe another time."
maybe you just need to go to the bathroom.,"no, that's not the problem."
maybe the banana was bad.,"no, the banana was delicious."
did he get off the hood?,"no, the car stopped and the passenger pushed the injured student off the hood."
can we call the police?,"no, the police don't care."
was it blinking when you entered the crosswalk?,"no, the white walk sign was blinking."
of course they match.,"no, they don't. one is black and one is dark blue."
"yes, old people don't smell like fruit.","no, they smell like a thrift shop."
maybe it's the wrong tree.,"no, this is the tree."
people today don't like that.,"no, today people like lots of action."
how about a dictionary?,"no, we have a big dictionary in the classroom."
i won't be able to play with the kids.,"no, we have to find something closer to your job."
we won't have any money for other things?,"no, we won't have money for gas or food."
when you go to church?,"no, when i call him on his cell phone."
maybe i left the burner on.,"no, you didn't. i checked the stove before we left."
i think i left the water running.,"no, you didn't. let's go! the only thing running is the clock!"
but i stopped!,"no, you didn't. you slowed down, but you didn't come to a full stop."
did you see the waiter's hands?,no.
is it raining right now?,no.
but it won't stop other players from using drugs.,no. everyone always figures that they won't get caught.
have you met the new girl?,no. have you?
but you won't date him again?,"no. he was nice, but there was no chemistry."
do you need a pen?,no. i already have a pen.
bring a glove to catch a foul ball.,no. i'll just use my cap to catch a foul ball.
are you married?,no. i'm divorced.
can't we hire more police?,no. it costs too much money.
is it in northern california?,no. it's in southern california.
"well, i think we are paying for it.",no. look at the bill when we get it. there's no charge for the bread.
is it his money?,no. movie stars give him money to give to homeless people.
so are they going to hold another election?,no. that will cost too much money.
yes.,no. that's incomplete.
did the cat bite you?,no. the bedbugs in that mattress bit me.
yelling doesn't do any good.,no. the best thing to do is just stay home.
do you need a calculator?,no. the teacher doesn't permit calculators.
they don't believe us?,no. they can only give a ticket if they see it happen.
did they explain how it's possible?,no. they said there are some things you can't explain.
you didn't?,nobody has told me anything about your party.
debrah had her baby last week.,nobody told me.
"i don't know, but was there a certain movie you wanted to see?",none that i can think of.
how many rich people do you know?,none.
i know that we need milk.,nonfat.
he never wins your money?,"nope, and it drives him crazy."
what's happening?,"not a lot, what about you?"
"hey, what's good with you?",not a lot. what about you?
you'd think a library would be safe from thieves.,not even a church is safe from thieves.
thirty thousand dollars! that will take forever.,not if we save every penny.
me too. i want to play for the yankees.,not me. i want to play for the dodgers.
what's going on?,not much.
what movie are you and your friend planning on watching?,not sure. is there a movie out that catches your eye?
do pimples run in your family?,not that i've noticed.
"only 4,000 american soldiers were killed overseas.","not to mention 40,000 wounded soldiers."
have you done your homework?,not yet.
do you ever pray for money?,not yet. i won't need to do that until i graduate from high school.
have you heard from them?,not yet. it's been a week.
what's up?,"nothing much, what's going on?"
what's on tv?,nothing much.
what's going on?,"nothing really, you?"
"hey, what's up?",nothing really.
what's going on?,nothing really. how about you?
so has everyone else.,nothing seems to work.
i missed the tv news last night. what was on?,nothing that would pass as news.
there must be something on tv!,nothing that's interesting.
what's the matter with green eyes?,"nothing, except my favorite color is blue."
what's up?,"nothing, how about you?"
what's on tv?,nothing.
it was before i was born.,now a stamp is 42 cents.
you're right. this one does have an extra button.,now all you have to do is sew it on.
what's the point?,now he has the world record!
"oh, my goodness. no one is safe on the streets.",now he's slowing down.
"a long time ago, flying used to be okay.",now it's like riding a bus.
i'll say! i've gone around the world a dozen times already!,now they're adding old tv shows to the old movies.
"yes, you chased me and then you caught me.",now you're mine forever.
they might think that i've got an ipod or laptop in there.,now you're thinking.
you're right. you have to stand in the aisle.,"number five, it's unsafe."
you're right. buses don't run late at night.,"number four, it's too crowded."
why not?,"number one, it's too slow."
you're right. the buses are never on time.,"number three, it doesn't run 24 hours."
you're right. a car is faster.,"number two, it's usually late."
that's 50 million people who don't love obama.,obama's got four years to make everyone happy.
do you pray to god?,occasionally.
you don't like pretty women?,of course i do. but not on our flag!
did you hear that?,of course i heard that. i thought a plane had crashed into your house.
"i know, you should really go and see her and the baby.",of course i will.
will you go and visit them?,of course i will.
are you sure?,of course i'm sure.
i'll bet the car continued on its way.,of course it did. why stop after you've run over two people?
"if you pour water into a glass, the water goes down into the glass.",of course it does.
your day was just like mine.,of course it was. we work together!
maybe we should get rid of him.,of course not! he's family.
have you told her?,of course not.
can't you report him to his supervisor?,"of course not. if i do that, i'll lose my job."
the tv news doesn't tell us the race anymore.,of course not. that would be racist.
bears are invading our neighborhoods.,of course they are. they're starving to death.
i can't believe that they would lie to us.,of course they liethat's what politicians do!
do your socks match?,of course they match.
"well, the democratic party says it was an honest election.",of course they say thattheir man won!
do they talk about us?,of course they talk about us.
do animals talk to each other?,of course they talk to each other.
look at the bottom of my shoesthey're clean.,of course they're clean. you left all the mud on the carpet.
i'm stuffed.,of course you are. you ate everything on the table.
i can't quit smoking.,of course you can.
i don't have enough will power.,of course you do.
did you ever see anything that picasso painted?,of course! he's world famous.
i wonder if every language has jokes.,of course! people everywhere like good jokes.
swiss.,"of course, the cheese with holes in it."
can we go to the baseball game?,of course.
can you fix a dripping faucet in a kitchen sink?,of course.
did you call the repairman?,of course.
do you believe in god?,of course.
do you really love me?,of course.
do you think anyone will come to my funeral?,of course.
i bought the movie. would you like to come to my house and watch it?,of course.
i'd better see you there.,of course.
do you have a digital tv?,of course. but i don't have cable.
did you go to school today?,of course. did you?
so the cop will stop those cars?,of course. he stops the fastest cars.
that is a lot of friends. do you have a best friend?,of course. i have lots of best friends.
this sunday?,of course. it's all over the news.
are you going to wash it yourself?,of course. it's not a hard job.
wasn't there anything about octo-mom?,of course. she's going to hire a nanny for her eight infants.
we have to find a cheaper house.,of course. we can't live without gas or peanut butter.
did you give him a nose?,of course. we gave him a big carrot for a nose.
you would do the same for me.,of course. what are friends for?
nonfat.,of course. what else?
the point of what?,of living.
but that's impossible.,officials said that it's possible.
"if you got laid off, you'd be flipping hamburgers, too.","oh great, we could both work at burger king."
"well, she did, her baby was 8 pounds 6 ounces.","oh my god, that's great!"
"this friday, i'm throwing a party.",oh really? i didn't know that.
"yeah, but i'm still waiting for my invitation.",oh really? she gave me mine earlier today.
i didn't do anything.,"oh yes, you did."
just hold on.,oh! don't hit any more bumps!
are you going to buy a desktop or laptop?,"oh, a laptop, of course."
where does he travel to?,"oh, all over the world."
what would you like to see?,"oh, i don't care. you're the one who wants to go out."
"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com."
so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow."
that must have made you feel really special.,"oh, it did. there were about 300 people there to honor us."
i will.,"oh, look. here's another shirt just like it."
who ever heard of such a thing?,"oh, look. here's the little sticker that was on it. it's called a pink navel."
we each get five cards.,"oh, look. i have four tens."
look! he just hit that car.,"oh, my goodness. no one is safe on the streets."
no problem. i'll give him food off my plate.,"oh, no you don't. puppies don't eat vegetables."
the digital signal is very clear.,"oh, no, it isn't!"
i'll just take it out to the street tomorrow morning.,"oh, no, you don't."
are you reading this paper?,"oh, no. help yourself."
did you put the blue bin out on the street?,"oh, no. i forgot."
are you going to be buried next to each other?,"oh, no. our ashes will be shaken into the ocean."
my hard drive crashed.,"oh, no. that's bad news."
do we need reservations?,"oh, no. we can walk right in."
i've got a date for you.,"oh, really?"
"next saturday, i'm going to have a party.","oh, really?"
i think most jokes are about women.,"oh, really? i think most jokes are about men!"
i couldn't wait. it was an emergency.,"oh, really? maybe you should have called 911."
i'm having a party this friday.,"oh, really? that's nice."
i was looking at something else.,"oh, really? then spend tonight looking at the sofa."
you missed a really good game.,"oh, really? who won?"
i learned back in high school.,"oh, so you took an art class?"
"if you lose your job, you can move in with me.","oh, thank you. that's very nice of you."
i want you to clean the bathroom.,"oh, that's easy."
we get hamburgers and steak.,"oh, that's so delicious."
a mad dog bit most of her face off.,"oh, that's terrible. what does she look like now?"
it starts at 8 o'clock.,"oh, well, how many people has she given invites to so far?"
it's probably around somewhere.,"oh, well, it only cost me a dollar."
my favorite movie is superbad.,"oh, why is that?"
sunday means we go to church.,"oh, yeah."
i think he closed the bowling alley in the white house.,"oh, yeah. he's changing it to a basketball court."
the husband of the driver who ran over two college students at 3 a.m.,"oh, yeah. the girl died instantly, and the boy is still in the hospital."
"how about ""let it be?""","oh, yes! ""let it be, let it be"""
a hospital is the most dangerous place in the world.,"oh, yes, because of all the killer germs."
"it's in the fridge, i think.","oh, yes, here it is. do you want a sandwich?"
do you like it?,"oh, yes, i really like it."
do you know which one he would like?,"oh, yes, i took him there yesterday. he showed me one that he really liked."
do you smell that?,"oh, yes."
does it pick up any digital channels?,"oh, yes. i get six korean channels but nothing in english!"
do you take good care of it?,"oh, yes. i wash it once a week."
did you take pictures at the world war ii monument?,"oh, yes. we all took lots of pictures."
"when i have time, i sometimes draw and paint.","oh, you actually do that?"
it's a yearly reminder to take care of our planet.,"oh, you mean like reuse things and recycle stuff?"
"if the company goes out of business, i'll have nothing.","oh, you'll have somethingyou'll have a lesson you'll never forget!"
it hurt her feelings.,oh.
i don't mean good-looking. i mean good-smelling.,oh. but that can be a curse.
the nation is switching to digital tv.,oh. of course i'm ready.
"that's great, but you're not supposed to tell me.","oh. sorry. okay, i don't have four tens."
check your tires or you'll get a flat.,oh. that's not good.
"for example, if your birth date is january 12, 1987, write 01/12/87.",oh. that's simple enough.
"well, it gives me money, but it's my own money.",oh. what good is that? i thought it gave you free money.
"if you want to lose fat, you've got to do this hike every day.","okay, but let's hike in town. at least there are cats and dogs to see."
"no, it's too close to the salad bar.","okay, i give up."
i'll help you.,"okay, i'll get a bucket."
of course they're clean. you left all the mud on the carpet.,"okay, i'll get the vacuum cleaner."
"you'll remember to do it, but you won't have time to do it.","okay, i'll take it out front right now."
i'll call you later.,"okay, i'll talk to you later then."
because i was watching you.,"okay, i'm sorry i did it."
then stop eating the bread!,"okay, just one more piece. pass the butter, please."
i was thinking about seeing a movie.,"okay, let's go see a movie."
"well, the tables and chairs look okay.","okay, let's sit down."
i think i know the difference between picking and scratching.,"okay, mom, maybe i was picking it a little bit."
hold your breath till we get there.,"okay, my seatbelt is on."
i knew you didn't love me.,"okay, okay! i'll make a reservation right now."
she weighs 98 pounds.,"okay, she's not fat. so what's the problem with her?"
i don't want to see a movie by myself.,"okay, so are you going to school tomorrow?"
she's cute.,"okay, so she's not ugly; she's just fat."
"no, thanks, maybe another time.","okay, sounds good."
let's go to an early movie.,"okay, that won't be very crowded."
"yeah, let's do that.","okay, until next time then."
i enjoy selling. i was born to sell.,"okay, what do you want to sell?"
that doesn't matter. i don't want to sit around.,"okay, what kind of job do you want?"
"i apologize, but i'm getting off the phone now.",okay.
not if we save every penny.,okay. here's seven pennies.
i care. do something.,okay. i did something.
they're in the kitchen drawer.,okay. i just put a stamp on the envelope.
i'll start dinner at 6:00.,okay. i think i'll be awake by then.
the cat is meowing. he's hungry.,okay. i'll feed him right now.
tell her i said hello.,okay. i'll return your pen when i'm done.
stop thinking about what the point is.,okay. i'll start thinking about having some fun.
"i will blow my nose sometime for you, and you'll see.",okay. i'll take your word for it.
i'm just yawning because the commercials are on.,okay. i'll tell you how the show ends.
why don't you look outside?,okay. it looks like rain.
no. the bedbugs in that mattress bit me.,okay. let's get a new mattress.
"yes, it will only take about 30 minutes.",okay. teach me how to play.
it will cost you only $20 plus parts.,okay. that sounds like a fair price.
i'll teach you one.,okay. what will you teach me?
how often do i have to do that?,once every two months.
but big earthquakes happen only once in a while.,once in a while is once too many.
it smells so bad.,one cigarette stinks up the whole sidewalk.
how many did he hire?,one hundred!
how many tires were cut?,one or two tires were cut on each car.
i'll get him one of those little dogs.,one that won't grow up too big.
what do you need five of them for?,"one to wipe the handle, and the others to wipe the produce."
it says the mayor spends only 11 percent of his time on city duties.,only 11 percent?
i can't believe he won the election.,only 15 percent of the voters turned out.
"yes, those eight years were a lot of fun for everyone.","only 4,000 american soldiers were killed overseas."
"oh, well, it only cost me a dollar.",only a dollar? don't even look for it.
there was a bomb threat at the airport.,only a threat?
so it's not worth much?,"only about $30,000."
you get to put someone in power that you like.,only if my candidate wins.
they need a left-turn arrow.,only two cars can make a left turn every three or four minutes.
we've been sitting here for almost 10 minutes.,"oops, i guess i was wrong. that isn't our waiter."
the light is on.,open the book.
i don't get art.,or artists.
we can go to the river.,or we can go to the lake.
or we can go to the lake.,or we can go to the ocean.
they both said i have to live with it.,or you can stay off planes.
"when you're inside, you will always hear cars stopping and stopping at the intersection.",or you'll hear the collision if someone doesn't stop.
or you'll hear the collision if someone doesn't stop.,or you'll see the collision if they crash into the house.
what happened?,our cousin went into labor and had her baby last week.
we never have to call the police about anything.,our kids are completely safe.
that's true. where did that money go?,our legislators spent it on first-class travel all over the world.
what do you mean?,our monthly payments will be too high.
room service brought us a cold dinner.,our nonsmoking room stunk of cigarette smoke.
our nonsmoking room stunk of cigarette smoke.,our room was right next to the elevator and the ice machine.
"oh, really? who won?",our school did. they played really well.
it's too bad that i couldn't make it. who won?,our team played hard and won.
is that right. who ended up winning?,our team was victorious.
what was the score at the end of the game?,our team won 101-98.
it's a paper cut.,paper can be dangerous.
"it hurts, too.",paper cuts can hurt a lot.
it sure is windy today.,paper is flying everywhere.
why did you do that?,pasta is processed food. potatoes are natural food.
you don't have any elbow room or knee room.,people are always getting up to use the bathroom.
"yes, it is.",people are friendly.
it's too dangerous for kids and pets.,people need to cover their trash cans.
they got $1 each.,people stood in line just to get one dollar?!
the neighbors don't party on the weekends.,people take care of their lawns.
what's that?,people talk about current events.
what's wrong with looking pale?,people think you might be sick.
and there was no violence.,people today don't like that.
at night i went out to eat. the food was delicious.,people who live in hawaii are lucky.
what do you mean?,people will tell you if they have a good hand.
then you can wipe your seat and window.,people will think i'm strange.
no pets are allowed.,perfect. we don't have to listen to barking dogs.
"oh no, another pimple on my face.",pimples suck.
what is it that you need to do?,please don't be nosey.
there will be another show next week.,please?
"it's not too much, only about $85.",plus installation?
probably not.,poems are a little bit like songs.
i have a little poodle.,poodles bark a lot.
his life sucked. he was hoping a fighter jet would shoot him down.,poor guy.
did he get rich from his poetry?,probably not.
you are coming?,probably not.
of course.,prove it.
"oh, yeah.",put on a coat and tie.
but i have rabbit ears.,rabbit ears aren't strong enough. buy a digital antenna.
it got rained out.,rained out?
i'll get the yellow pages for an eye doctor.,read the phone number to me.
ready for what?,ready for the big switch.
are you ready?,ready for what?
thank you. i just got this outfit the other day.,"really, where did you get it?"
he had dirty fingernails.,really?
i think it's an old people's smell.,really?
i'm so happy for you.,really?
"no, my hard drive is easy to remove and replace.",really?
i have lots of friends.,really? how many do you have?
"i've heard about it, but i'm still waiting for my invitation.",really? i got mine from her this morning.
thank you. i just got these shoes today.,really? what kind of shoes are they?
i have a date tomorrow night.,really? who with?
"yes, but i love the night air after it rains.",really? why is it?
i especially love the night air when it rains.,really? why?
i will have a radio in every room of my house.,remind me to never visit you.
what does that have to do with it?,rich people think they're better than us.
housekeeping didn't give us fresh towels.,room service brought us a cold dinner.
this city is full of jerks.,rude people are everywhere.
how are you going to vote?,"same as ever, by mail. all it costs me is a 42-cent stamp."
"i couldn't help laughing, either.",same here.
you think i should quit playing.,save your money for school.
the book is open.,see an eye doctor.
yes?,see those stains?
"okay, i'll talk to you later then.",see you later.
i'll talk to you later.,see you soon.
i'll see you tomorrow then.,see you then. goodbye.
did you really?,"seriously, i am so excited."
you do? i just bought this outfit a couple days ago.,"seriously, it looks really nice on you. where did you buy it from?"
my pen is out of ink.,shake it a couple of times.
no one makes any money at it.,shakespeare was a poet.
that was nice of you.,"she asked me how she could return the favor, so i asked her out."
"i had two pineapples in my cart, and she asked where i had found them.",she asked you about your pineapples?
our cousin went into labor and had her baby last week.,she did? why didn't anyone tell me?
why didn't she love you anymore?,she fell in love with my best friend.
did she get a nice job?,"she got an ""everything"" job!"
my mother was hurt and angry.,she had good reason. what did she do?
what about her facial features?,"she has light brown eyes, absolutely beautiful."
"what does she look like, though?",she has pretty light brown eyes.
what did she say?,she laughed! she didn't believe me.
"so do i, like ""she loves you.""","she loves you, yeah, yeah, yeah!..."
yes. that's all i ever give her.,"she raised you, and all you ever give her is a card?"
why did she leave you?,she said she didn't love me anymore.
that wasn't very nice of her.,she said that nothing is more important to me than money.
so she likes poodles.,she says they're good watchdogs.
she had good reason. what did she do?,she told him to drop his girlfriend.
i really wasn't told anything.,she was a cute 8 pounds 6 ounces.
you met a girl at the supermarket?,she was standing behind me in a really slow line at the checkout counter.
"okay, so she's not ugly; she's just fat.",she weighs 98 pounds.
why not?,she would laugh at me.
"well, how tall is she?",she's about five feet even.
uh-oh. that means that she's fat and ugly.,she's cute.
maybe. what is she like?,she's got a great personality.
tell me how she looks.,she's kind of short.
describe her to me.,she's not too tall.
no. have you?,she's one of the prettiest girls at the school.
what height is she?,she's probably about five feet.
"no, i haven't.",she's really pretty.
"yes, but a puppy needs shots.",shots for what?
female singers are supposed to be pretty.,singers are supposed to sound good.
one cigarette stinks up the whole sidewalk.,smokers think they are so cool.
i'm sleepy.,so am i.
"well whatever, i'm glad you came.",so am i.
beer is a powerful drug.,so are cigarettes.
my parents are divorced.,so are mine.
no. they said there are some things you can't explain.,so are they going to hold another election?
and we can afford it!,so are we going to buy it?
i had a long day.,so did i.
me too. they canceled their other news magazines.,so did mine!
"i still have my job, thank goodness.","so do i, but i'm worried."
i feel sorry for anyone who loses their home.,"so do i, but not if they're rich."
i like the ones i can sing along with.,"so do i, like ""she loves you."""
i always try to be polite.,so do i.
i hate flying.,so do i.
i have the dvd.,so do i.
i like that shirt.,so do i.
i like this magazine.,so do i.
i love baseball.,so do i.
the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?
i wish i had never started.,so does every smoker.
my grandma's apartment smells funny.,so does mine.
i really want to go to the movies this weekend.,so go then.
i've tried to quit so many times.,so has everyone else.
i don't have long distance service with my home phone.,so how do you make long distance calls?
there sure areat least a million.,so how do you plan to become rich?
i hate medication. it makes me feel different.,so how do you think positive?
"never better, thanks.",so how have you been lately?
because you're thinking too much.,so i should stop thinking?
i'd like that.,so i'll see you next time.
but you're doing 75.,so is everyone else.
shots for what?,so it won't get sick. just like you get shots.
"yes, it does.",so it would be cheaper to hire more police?
no. that will cost too much money.,so it's better to save money than to have an honest election?
it's just black ink on a white napkin. and the napkin has food stains!,so it's not worth much?
"and 4,000 people showed up.",so many people are out of work.
this time they have charged him with murder.,so maybe he'll go to jail forever?
"well, it's an hour to get there, if there are no traffic problems.",so maybe we better leave at 8:15?
it's my mom's dog.,so she likes poodles.
it was the best game ever.,so tell me the final score.
"no, he won't. some cars are doing 85.",so the cop will stop those cars?
i would love to catch a movie this weekend.,"so then, why don't you just go?"
i was busy the whole day.,so was i.
it comes from cows.,"so we get cheese from cows, and we get milk, too?"
i have to be there two hours early.,so we have to be at the airport at 10:15.
they're building a 3-story apartment building on the corner.,so we've got to sell before property values go down?
me neither.,so what are you going to do?
stress causes different problems with different people.,so what did he tell you to do?
i've been pretty busy myself.,so what have you been up to?
"yeah, you should have. it was really exciting.",so what was the score?
it's okay.,so what were you calling me about?
the husband said a fire department was nearby.,so what? did he dial 911?
"no, he said he gently placed the boy on the street.",so what? they still drove off.
i didn't have to. it's been in business for 60 years.,so what's the problem?
that's correct.,so what's the problem?
they are having a good time with our money.,so when are we going to stop giving them more?
our kids are completely safe.,so why are we selling our house?
i know that.,so why are you arguing with me? don't lie in the sun too long!
everybody loves pizza.,so why can't i have pizza for dinner?
"no, i was in the crosswalk.",so why did you get a ticket?
i may know which girl you're talking about.,so you have seen her around?
i can add two and two.,so you're not very good at math?
her mom is a great cook.,"so, a little salt and pepper never hurt anything."
there's nothing i can think of.,"so, did you want to go?"
so?,"so, every time the plane goes up, my ear starts to hurt."
so?,"so, forget it."
your white shirt is ruined.,"so, i'll just buy another one."
it was new in 2003.,"so, it's pretty old now."
neither have i.,"so, they do a good job for the money."
no. they can only give a ticket if they see it happen.,"so, what do we do?"
"yes, i did. a site i went to said they would send me the solution.","so, what's the problem?"
i was missing you too.,"so, why haven't you visited me?"
i don't want to go alone.,"so, will you be at school tomorrow?"
a tutor helped me get the d!,"so, you didn't become a doctor."
i was on a plane.,so?
it's on the corner.,so?
it's sunday.,so?
my doctor said i need surgery.,so?
"yes, but the red hand was blinking.",so? that's a ticket?
what was the second story?,some actor married a woman young enough to be his daughter.
what was the lead story on the news?,some actress was in court for driving without a license.
because men like to cheat.,"some men do, but not me."
i don't know anyone who likes it.,"some of it is okay, i guess."
i don't think he even got paid for it.,some people do it just to do it.
thank you. that's polite of you to ask.,some people would just pick it up.
who invited them?,some private organization.
no human can do that.,somebody should check his birth record.
"yes, but i was stuck there all day while they looked for the bomb.",someday the bomb is going to be for real.
what was the problem?,someone cut the tires.
they had fireplaces.,someone had to chop the wood.
ha! you can't win if you do play.,someone has to win.
"no, please tell me.",someone punched out someone.
i sure hope so.,someone should set him on fire.
what happened?,someone stole his laptop.
especially on these slick floors.,someone who slips could hurt their back.
"she asked me how she could return the favor, so i asked her out.",sometimes a slow line can be a good thing.
"well, i guess you have to live with it.",sometimes i want to throw it out the window.
i agree. work is just as hard as school.,sometimes i wish i was back in school.
that's no good.,"sometimes the pain goes away, and sometimes it doesn't."
does your girlfriend ever make you angry?,sometimes.
but he didn't have a chance. nobody voted for him!,"sooner or later, voters will wake up."
"i understand, i guess.",sorry about that.
i've been trying to call you all day.,sorry about that. i was cleaning up.
"no, it's a taste you have to get used to.",sort of like beer.
did she catch you using drugs?,sort of. she knows whenever i sneak a cigarette.
i want to do something tomorrow with you.,sounds good. what did you have in mind?
i'll hold you to that.,sounds like a plan.
our team won 101-98.,sounds like it was a close game.
i've been thinking about learning spanish.,spanish is easy. i'll be happy to teach you.
"hi, how are you. is alice there?",speaking. what's up?
but i do all my writing with my right hand.,start typing instead. that way your left hand will do half the work.
a recent fire destroyed 85 homes.,"still, it's safer than florida."
so i should stop thinking?,stop thinking about what the point is.
stress causes your stomachaches?,stress causes different problems with different people.
he thinks i have too much stress.,stress causes your stomachaches?
they have interesting lawsuits.,such as?
what are you talking about?,sunday is mother's day.
i forgot.,sunday means we go to church.
i have it on dvd at my house if you want to come over and watch it.,"sure, let's go."
"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?"
"would you put suntan lotion on my back, please?",sure.
can i try your coffee?,sure. here you go.
can i borrow $5?,sure. why do you need it?
and grow a beard?,sure. why not?
what kind of cheese?,swiss.
that's it? that's all i have to do?,"take me to a nice restaurant, not to mcdonald's."
how can i prove it?,take me to dinner.
okay. i'll return your pen when i'm done.,take your time.
i appreciate that.,"talent is a great thing, i wish i had one."
until then.,talk to you later.
i'll call you so we can set that up.,talk to you then.
i tell my students to become a teacher.,teaching is a great job.
that must be nice.,teaching is the best part of my whole day.
it's to my mom.,tell her i said hello.
"that was a great trip to washington, d.c.","tell me about it, dad."
it puts me to sleep.,tell me about it.
you can sew it up or use an iron-on patch.,tell me about this patch.
i think that she is very pretty.,tell me how she looks.
i've also been busy.,tell me what you've been doing.
"lately, i've been quite busy.",tell me what you've been up to.
that's a lot of work.,tell me when you finish.
deal or no deal,tell me you're joking.
i can't believe we haven't seen any animals.,thank goodness! i don't want to see any wild animals.
"well, would you like to go?","thank you for inviting me, but i think i'll pass."
that's horrible. i'd be happy to give you the assignments from english class.,"thank you very much, that's kind of you."
congratulations on your promotion.,thank you very much.
good luck with school.,thank you very much.
i see that you're pretty talented.,thank you very much.
i bought you a pair of pants.,thank you.
i hope you feel better.,thank you.
i think you're very pretty.,thank you.
i'm sorry for you.,thank you.
lunch was delicious.,thank you.
sure.,thank you.
"well, congratulations.",thank you.
"thanks. i think you look nice today, too.",thank you. i just bought these new shoes earlier today.
"thanks again. you look nice today, too.",thank you. i just got these shoes today.
you look really nice today.,thank you. i just got this outfit the other day.
you can borrow mine.,thank you. i'll buy a new one tomorrow.
you have pretty eyes.,thank you. so do you.
i asked because the paper is sitting next to you.,thank you. that's polite of you to ask.
get better.,thanks a lot.
it's really nice.,"thanks again. you look nice today, too."
i just wanted to give you the good news.,thanks for letting me know.
good! i just thought i'd let you know.,thanks for telling me.
i think that's an excellent reason to like something.,"thanks, i feel the same way."
good luck with that.,thanks.
you have got to be talented.,thanks.
"well, i think you look nice today too.",thanks. i found these new shoes earlier at the store.
i really like that outfit.,"thanks. i think you look nice today, too."
